Station Name,Country,Latitude,Longitude,Altitude (m),Record Period,Watershed,Data Available?,Paper,Source,
MET_OBSERVATORY_TIMERGARA/DI,Pakistan,34.833,71.817,786,2008-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt
DIR,Pakistan,35.2,71.85,1370,1980-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MIR KHANI,Pakistan,35.5,71.7,1250,2006-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
KALAM,Pakistan,35.833,72.983,2123,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
DROSH,Pakistan,35.567,71.783,1465,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
GILGIT,Pakistan,35.919,74.334,1457.2,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SKARDU,Pakistan,35.336,75.536,2316.5,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
BUNJI,Pakistan,35.667,74.633,1470,2004-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
CHILLAS,Pakistan,35.417,74.1,1251,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
TURBAT INTL,Pakistan,25.983,63.033,152,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
ASTORE,Pakistan,35.367,74.9,2168,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
CHITRAL,Pakistan,35.883,71.8,1494,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
DERA GHAZI KHAN,Pakistan,29.967,70.483,148,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MUZAFFARABAD,Pakistan,34.333,73.517,831,2005-2015,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SAIDU SHARIF,Pakistan,34.733,72.35,951,1974-2014,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SAIDU SHARIF,Pakistan,34.817,72.35,970,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
PATTAN,Pakistan,35.1,73,752,2008-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
RAIFIQUI,Pakistan,30.767,72.283,151,2005-2005,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MALAM,Pakistan,34.75,72.9,2652,2007-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
BABUSAR,Pakistan,35.217,74.1,2854,2015-2015,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
LANDIKOTAL,Pakistan,34.1,71.133,1067,1973-1979,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
PESHAWAR,Pakistan,34.033,71.933,329,2011-2015,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
PESHAWAR,Pakistan,34.017,71.583,360,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
BATTAL,Pakistan,34.583,73.15,1676,1973-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MUZAFFAR ABAD,Pakistan,34.367,73.483,2303,1973-2013,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
RISALPUR,Pakistan,34.081,71.973,320,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
KAKUL,Pakistan,34.183,73.25,1309,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
BALAKOT,Pakistan,34.383,73.35,981,1998-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
PARACHINAR,Pakistan,33.867,70.083,1726,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
BANNU*,Pakistan,33,70.1,406,2005-2013,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
KOHAT,Pakistan,33.567,71.433,513,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
CHERAT,Pakistan,33.817,71.883,1372,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
CAMPBELLPUR,Pakistan,33.767,72.367,357,1973-1973,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
CHAKLALA,Pakistan,33.617,73.099,508.4,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
HARIPUR,Pakistan,33.983,72.917,535,1973-1978,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MURREE,Pakistan,33.917,73.383,2127,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
RAWALAKOT*,Pakistan,33.85,73.8,1677,2006-2013,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MANGLA*,Pakistan,33.067,73.633,283,2007-2013,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
ISLAMABAD CITY,Pakistan,33.717,73.1,525,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MIRANSHAH AIRPORT,Pakistan,32.983,70.117,921,1944-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
KHUSHAB,Pakistan,32.3,72.35,186,1954-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MIANWALI,Pakistan,32.563,71.571,210.3,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SUKKUR,Pakistan,27.722,68.792,58.2,2008-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SARGODHA,Pakistan,32.05,72.667,187,2004-2010,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SARGODHA,Pakistan,32.05,72.667,188,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MANDI BAHAUDDIN,Pakistan,32.583,73.5,253,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
JHELUM,Pakistan,32.933,73.717,234,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SIALKOT,Pakistan,32.5,74.533,255,2013-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SIALKOT,Pakistan,32.5,74.533,256,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
ZHOB,Pakistan,31.358,69.464,1417.3,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
D.I. KHAN,Pakistan,31.909,70.897,181.1,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
FAISALABAD,Pakistan,31.433,73.1,184,1944-2014,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
JHANG,Pakistan,31.267,72.317,153,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
TOBA TEK SINGH,Pakistan,30.983,72.967,156,2008-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
LAHORE CITY,Pakistan,31.55,74.333,215,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
ALLAMA IQBAL INTL,Pakistan,31.522,74.404,217,1976-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
OKARA,Pakistan,30.8,73.433,180,2008-2013,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
DERA GHAZI KHAN,Pakistan,30.05,70.633,125,1973-2013,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
QUETTA,Pakistan,30.251,66.938,1600.2,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
QUETTA (SHEIKH MANDA),Pakistan,30.267,66.917,1621,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
QILA SAIFULLAH,Pakistan,30.75,67.867,1801,1957-1963,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
LAYYAH,Pakistan,31.017,70.967,151,2016-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
RAFIQUI,Pakistan,30.783,72.2,150,1975-2015,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MULTAN INTL,Pakistan,30.203,71.419,121.9,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
BAHAWALNAGAR,Pakistan,29.95,73.25,163,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
BAR KHAN,Pakistan,29.883,69.717,1098,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
KALAT,Pakistan,29.033,66.583,2017,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SIBI,Pakistan,29.55,67.883,134,1957-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
BAHAWALPUR,Pakistan,29.4,71.783,113,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
BAHAWALPUR,Pakistan,29.4,71.783,117,2009-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
NOKKUNDI,Pakistan,28.817,62.75,683,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
DAL BANDIN,Pakistan,28.883,64.4,850,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SHAHBAZ AB,Pakistan,28.284,68.45,56.4,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
SHEIKH ZAYED,Pakistan,28.384,70.28,82.6,2008-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
KHANPUR,Pakistan,28.65,70.683,88,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
ROHRI,Pakistan,27.667,68.9,68,1957-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
TURBAT,Pakistan,26.017,63.067,154,2005-2013,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
PANJGUR,Pakistan,26.955,64.133,1002.5,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
LASBELLA,Pakistan,26.23,66.17,87,1957-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
DADU,Pakistan,26.717,67.767,40,1973-1974,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
KHUZDAR,Pakistan,27.833,66.633,1232,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
PADIDAN,Pakistan,26.85,68.133,47,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MOENJODARO,Pakistan,27.335,68.143,50.9,2010-2015,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
LARKANA,Pakistan,27.533,68.233,53,2005-2013,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
NAWABSHAH,Pakistan,26.219,68.39,28.3,1955-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
JIWANI,Pakistan,25.068,61.805,58,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
GWADAR,Pakistan,25.233,62.329,29.3,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
PASNI,Pakistan,25.29,63.344,3.7,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
ORMARA,Pakistan,25.273,64.588,19,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
HYDERABAD AIRPORT,Pakistan,25.383,68.417,41,1945-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
HYDERABAD,Pakistan,25.383,68.417,30,1957-2007,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
CHHOR,Pakistan,25.517,69.783,6,1954-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
UNMARKOT,Pakistan,25.367,69.75,17,1957-1963,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
JINNAH INTL,Pakistan,24.907,67.161,30.5,1942-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
MASROOR,Pakistan,24.894,66.939,10.7,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
KARACHI MANORA,Pakistan,24.8,66.983,4,1944-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
BADIN,Pakistan,24.633,68.9,11,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/,
,,,,,,,,,,
GULMARG,India,34.05,74.4,2655,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SRINAGAR,India,34.083,74.833,1587,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SONAMARG,India,34.317,75.317,2515,1974-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DRAS,India,34.433,75.767,3066,1944-2007,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
LEH,India,34.15,77.567,3513,1944-1948,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SRINAGAR,India,33.983,74.783,1664,1988-2005,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
QAZI GUND,India,33.583,75.083,1690,2003-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BANIHAL,India,33.5,75.167,1630,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JAMMU (IN-AFB),India,32.683,74.833,314,1973-1991,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JAMMU,India,32.667,74.833,367,1983-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PATHANKOT (IN-AFB)&,India,32.233,75.633,312,1973-1975,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DALHOUSIE,India,32.533,75.967,1959,1944-2006,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KATHUA,India,32.333,75.5,380,2001-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DHARMSALA,India,32.267,76.383,1211,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MANALI,India,32.267,77.167,2039,1999-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
AMRITSAR,India,31.71,74.797,230.4,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KAPURTHALA,India,31.333,75.333,229,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
UNA,India,31.467,76.267,369,2009-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MANDI,India,31.717,76.967,761,1959-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SUNDERNAGAR,India,31.533,76.9,874,2013-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BILASPUR,India,31.25,76.667,587,1959-2015,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BHAVNAGAR,India,21.752,72.185,13.4,2011-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BHUNTAR,India,31.833,77.167,1084,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SHIMLA,India,31.1,77.167,2202,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
FEROZEPUR,India,30.917,74.667,200,1973-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BHATINDA,India,30.167,74.583,211,2003-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
HALWARA,India,30.75,75.633,241,1944-1948,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
LUDHIANA,India,30.867,75.933,255,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PATIALA,India,30.333,76.467,251,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
AMBALA,India,30.383,76.767,272,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NAHAN,India,30.4,76.767,958,1988-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CHANDIGARH(IAFB),India,30.733,76.883,347,1974-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DHARMPUR,India,30.9,77.017,1986,1999-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
UTTARKASHI,India,30.733,78.45,1200,1999-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
