Station Name,Country,Latitude,Longitude,Altitude (m),Record Period,Watershed,Data Available?,Paper,Source,
INDIRA GANDHI INTL,India,28.567,77.103,236.8,1975-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SAFDARJUNG,India,28.585,77.206,214.9,1942-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BULANDSHAHR,India,28.4,77.867,218,2001-2001,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MORADABAD,India,28.833,78.75,202,1983-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
RAMPUR,India,28.75,79,191,1999-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BAREILLY,India,28.422,79.451,176.8,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PILIBHIT,India,28.633,79.8,188,2002-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PASIGHAT,India,28.1,95.383,157,1974-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PHALODI,India,27.133,72.367,234,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NAGAUR,India,27.167,73.667,298,2001-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SIKAR,India,27.617,75.133,433,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
ALWAR,India,27.5,76.583,271,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MATHURA,India,27.5,77.683,174,2002-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BHARATPUR,India,27.217,77.5,176,2002-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
AGRA,India,27.156,77.961,167.9,1942-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
AGRA,India,27.167,78.033,169,1944-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
ALIGARH,India,27.883,78.067,187,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MAINPURI,India,27.233,79.05,157,1944-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SHAHJAHANPUR,India,27.883,79.9,155,2009-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KHERI,India,27.9,80.8,147,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
HARDOI,India,27.383,80.167,142,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BAHRAICH,India,27.567,81.6,124,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GONDA,India,27.133,81.967,110,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BASTI,India,26.8,82.733,89,2016-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NAUTANWA,India,27.433,83.417,99,1973-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DARJEELING,India,27.05,88.267,2128,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KALIMPONG,India,27.067,88.467,1209,2015-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GANGTOK,India,27.333,88.617,1756,1974-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BOMDILA,India,27.417,92.85,2484,2002-2005,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
LILABARI,India,27.295,94.098,100.6,1943-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SIBSAGAR,India,26.983,94.633,97,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
ZIRO,India,27.917,94.8,1476,2001-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DIBRUGARH,India,27.484,95.017,110.3,1942-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DIGBOI,India,27.383,95.617,143,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JAISALMER,India,26.9,70.917,231,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JODHPUR,India,26.251,73.049,218.5,1943-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
AJMER,India,26.45,74.617,486,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JAIPUR,India,26.824,75.812,385,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
TONK,India,26.167,75.75,272,1999-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DHOLPUR,India,26.667,77.833,176,1973-2009,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BHIND,India,26.567,78.8,168,2002-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GWALIOR,India,26.293,78.228,188.1,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
ETAWAH,India,26.733,78.983,151,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KANPUR,India,26.433,80.367,125,1945-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KANPUR CHAKERI,India,26.404,80.41,123.4,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
LUCKNOW,India,26.867,80.933,111,1973-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
LUCKNOW,India,26.761,80.889,125,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
FURSATGANJ,India,36.25,81.367,116,2013-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
FAIZABAD,India,26.75,82.083,102,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SULTANPUR,India,26.25,82,97,1999-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GORAKHPUR,India,26.74,83.45,78.9,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
AZAMGARH,India,26.05,83.217,78,1973-1980,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
RAXAUL,India,26.983,84.85,79,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MOTIHARI,India,26.667,84.917,66,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MUZAFFARPUR,India,26.117,85.4,53,1974-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MUZAFFARPUR AERODROME,India,26.117,85.317,53,2001-2014,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DARBHANGA,India,26.167,85.9,49,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SUPAUL,India,26.133,86.583,50,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
FORBESGANJ,India,26.3,87.267,61,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SILIGURI,India,26.667,88.367,123,1999-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BAGDOGRA,India,26.681,88.329,125.6,1957-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JALPAIGURI,India,26.533,88.717,83,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
COOCH BEHAR,India,26.333,89.467,43,1943-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DHUBRI,India,26.017,89.983,36,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DHUBRI/RUPSI,India,26.15,89.917,45,1945-1945,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GOALPARA,India,26.183,90.633,38,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
RANGIA,India,26.433,91.617,60,2015-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
TANGLA,India,26.65,91.917,65,1974-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GUWAHATI INTL,India,26.106,91.586,49.4,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MAJBAT,India,26.75,92.35,120,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CHAPARMUKH,India,26.2,92.517,66,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
TEZPUR,India,26.617,92.783,79,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
TEZPUR/BINDUKURI,India,26.717,92.8,75,1943-1980,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GOHPUR,India,26.833,93.583,82,1983-2007,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GOLAGHAT,India,26.517,93.983,95,1974-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JORHAT,India,26.067,90.167,880,1943-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JORHAT,India,26.732,94.176,94.8,2016-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BARMER,India,25.75,71.383,194,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JALORE,India,25.35,72.617,168,2015-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
ERINPURA /JAWAI DAM SITE,India,25.083,73.083,295,1945-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BHILWARA,India,25.35,74.633,425,2002-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BUNDI,India,25.45,75.633,267,2003-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KOTA-IN-RAJASTHAN,India,25.183,75.85,256,1944-1978,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KOTA,India,25.16,75.846,273.1,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SAWAI MADHOPUR,India,25.983,76.367,264,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SHEOPUR,India,25.667,76.683,235,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SHIVPURI,India,25.333,77.65,464,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DATIA,India,25.667,78.467,229,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JHANSI,India,25.491,78.558,244.1,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NOWGONG,India,25.067,79.45,229,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
ORAI,India,25.983,79.5,141,2003-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
HAMIRPUR,India,25.95,80.15,109,2009-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
FATEHPUR,India,25.933,80.833,114,1973-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BANDA,India,25.467,80.367,121,2004-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
ALLAHABAD,India,25.441,81.735,98.1,1942-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
VARANASI,India,25.452,82.859,81.1,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GHAZIPUR,India,25.4,83.55,67,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
VARANASI,India,25.3,83.017,90,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BALLIA,India,25.75,84.167,64,2002-2007,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CHAPRA,India,25.783,84.733,58,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PATNA,India,25.591,85.088,51.8,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BHAGALPUR,India,25.233,86.95,49,1957-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SABAUR,India,25.233,87.067,37,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PURNEA,India,25.267,87.467,38,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MALDA,India,25.033,88.133,31,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BALURGHAT,India,25.217,88.783,26,2003-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
TURA,India,25.517,90.233,370,1973-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BARAPANI,India,25.7,91.967,893,2015-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CHERRAPUNJI,India,25.25,91.733,1313,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SHILLONG,India,25.567,91.883,1598,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
HAFLONG,India,25.167,93.017,682,2015-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
LUMDING,India,25.75,93.183,149,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KOHIMA,India,25.633,94.167,1406,1977-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DEESA,India,24.2,72.2,136,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MOUNT ABU,India,24.6,72.717,1195,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
UDAIPUR,India,24.618,73.896,513.3,1975-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
UDAIPUR,India,24.583,73.7,582,1944-1978,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CHITTORGARH,India,24.883,74.633,404,2009-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NIMACH,India,24.467,74.9,496,1944-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CHAMBAL/RAWAT BHATA,India,24.917,75.583,351,2004-2009,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JHALAWAR,India,24.533,76.167,321,1944-2003,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
RAJGARH,India,24,76.717,382,2003-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GUNA,India,24.65,77.317,478,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
TIKAMGARH,India,24.767,78.833,345,2003-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KHAJURAHO,India,24.983,79.917,217,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PANNA,India,24.717,80.167,354,2001-2014,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SATNA,India,24.567,80.833,317,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
REWA,India,24.533,81.3,299,2009-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SIDHI,India,24.417,81.867,272,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DALTONGANJ,India,24.05,84.067,221,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DEHRI,India,24.917,84.183,107,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GAYA,India,24.744,84.951,115.8,1942-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JAMUI,India,24.933,86.3,82,2012-2012,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DUMKA,India,24.267,87.25,149,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BERHAMPORE,India,24.133,88.267,19,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KAILASHAHAR,India,24.317,92,30,1945-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SILCHAR,India,24.75,92.8,29,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SILCHAR/KUMBHIRGRAM,India,24.917,92.983,105,1986-1991,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
IMPHAL,India,24.76,93.897,774.2,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NALIYA,India,23.25,68.85,21,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BHUJ,India,23.288,69.67,81.7,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KANDLA AERODROME,India,23.15,70.117,29,2004-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NEW KANDLA,India,23,70.217,14,2003-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MT HOREB,India,42.983,-89.75,370,1986-1986,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
AHMEDABAD,India,23.077,72.635,57.6,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
IDAR,India,23.833,73.033,219,2009-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DUNGARPUR,India,23.833,73.667,291,2001-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
GANDHINAGAR,India,23.233,72.717,82,2015-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BANSWARA,India,23.55,74.45,220,2002-2009,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
RATLAM,India,23.317,75.05,486,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
UJJAIN,India,23.183,75.783,489,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SHAJAPUR,India,23.433,76.317,446,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BHOPAL,India,23.287,77.337,524,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
VIDISHA,India,23.533,77.817,430,2001-2001,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SAGAR,India,23.85,78.75,551,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
RAISEN,India,23.317,77.833,440,1984-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DAMOH,India,23.833,79.45,371,2004-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JABALPUR,India,23.178,80.052,495,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
UMARIA,India,23.533,80.883,459,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
AMBIKAPUR,India,23.167,83.25,611,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
HAZARIBAGH,India,23.983,85.367,611,1944-2011,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
RANCHI,India,23.433,85.4,647,1973-2014,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BIRSA MUNDA,India,23.314,85.322,654.7,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DHANBAD,India,23.783,86.433,257,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PANAGARH,India,23.467,87.433,74,1943-2002,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PURULIA,India,23.333,86.417,255,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KULLU MANALI,India,31.877,77.154,1089.1,2004-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CHANDIGARH,India,30.673,76.789,308.5,2006-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
LEH,India,34.136,77.547,3255.9,2006-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CALICUT,India,11.137,75.955,104.2,2010-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BANGALURU INTL AIRPORT,India,13.2,77.7,915,2008-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BANKURA,India,23.383,87.083,100,2005-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SHANTI NIKETAN,India,23.65,87.7,59,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BURDWAN,India,23.233,87.85,30,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
KRISHNANAGAR,India,23.4,88.517,15,1995-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BAGATI,India,22.983,88.367,12,1980-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MALANJKHAND,India,22,80.7,581,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
AGARTALA,India,23.887,91.24,14,1945-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
LENGPUI,India,23.841,92.62,426.1,2015-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
AIJAL,India,23.733,92.717,1097,1954-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
LENGPUI,India,23.841,92.62,426.1,2010-2010,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MANDVI,India,22.817,69.267,9,2001-2015,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
OKHA,India,22.483,69.117,7,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DWARKA,India,22.367,69.083,11,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
JAMNAGAR,India,22.45,70.083,14,1973-1976,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
RAJKOT,India,22.309,70.78,134.4,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
RAIPUR,India,21.18,81.739,317.3,2006-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SURENDRANAGAR,India,22.733,71.6,74,1973-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
VALLABH VIDYANAGAR,India,22.567,72.933,44,1983-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BARODA,India,22.3,73.25,34,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
BARODA AERODROME,India,22.333,73.267,37,2003-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DOHAD,India,22.833,74.267,333,1944-2005,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DHAR,India,22.6,75.3,583,1974-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
DEVI AHILYABAI HOLKAR,India,22.722,75.801,563.9,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
HOSHANGABAD,India,22.767,77.767,302,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PACHMARHI,India,22.467,78.433,1075,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
CHHINDWARA,India,22.1,79,685,2002-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
NARSINGHPUR,India,22.95,79.183,356,2001-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
SEONI,India,22.083,79.55,619,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
MANDLA,India,22.583,80.367,443,2007-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
PENDRA ROAD,India,22.767,81.9,625,1944-2016,,yes,,ftp://ftp.ncdc.noaa.gov/pub/data/noaa/isd-history.txt,
